,Year,Month,Date,truck,hour,Upload speed (Mbits/sec),Download speed (MBits/sec),Download speed (MBytes),Upload size (MBytes),Upload throughput (MBytes),speed,Response time from CloudflareDNS (ms),Response time from GoogleDNS (ms),Response time from OptusDNS (ms),Response time from EC2DNS (ms)
3,2022.0,7.0,7.0,garbo08,12.0,7.706098300970874,22.473321562831842,2.679163557626669,0.9173998786407767,0.006394328712259643,24.13720035558252,427.2095575221239,426.7532389380531,425.4436814159292,441.20353982300884
4,2022.0,7.0,7.0,garbo08,13.0,18.844883720930234,51.25173990128392,6.1096089964874025,2.244186046511628,0.006878712663807053,53.17287696124031,164.9777777777778,163.84499089253185,162.17295081967214,181.50892531876138
0,2022.0,7.0,11.0,garbo08,14.0,23.868636363636362,80.9939393939394,9.654242424242424,2.8456060606060607,0.0010172139416943671,-1.0,739.3938679245283,739.2537735849056,738.7325471698113,744.8155660377358
0,2022.0,7.0,13.0,garbo08,9.0,6.319363957597173,20.881229681978798,2.4893687058303886,0.7525070947438162,0.001829847462254578,15.3093544,83.13325301204819,85.10216867469879,81.99020080321286,100.68168674698795
1,2022.0,7.0,13.0,garbo08,10.0,6.679722855514392,14.311509622577658,1.7061232138563338,0.7952078138358507,0.002201490049008929,19.499967452991456,302.17447437582126,301.80758869908016,300.073653088042,316.6631406044678
2,2022.0,7.0,13.0,garbo08,11.0,17.12034632034632,20.520437635281386,2.446490056818182,2.038239538239538,0.0020722745644925376,5.733435024531024,61.256660039761435,60.74065606361829,57.78068257123923,73.92548045062956
3,2022.0,7.0,13.0,garbo08,12.0,14.240244920679098,23.24907470906972,2.771806820010263,1.6953103256331756,0.0019836972558063323,18.14224672641247,180.76767255216694,183.17935794542535,184.67630818619583,196.34452648475119
4,2022.0,7.0,13.0,garbo08,13.0,9.161861313868613,24.615694464244985,2.9344015560846257,1.0907846715328466,0.0017450357094788808,27.206609584823056,466.63142978003384,466.68024534686975,465.65930626057536,475.7321912013536
5,2022.0,7.0,13.0,garbo08,14.0,12.836551193225558,72.71662817551963,8.667975365665898,1.5281610553791378,0.0032432395071076816,2.040738615091947,253.28052044609666,253.09078066914498,252.94356877323418,277.97204460966543
6,2022.0,7.0,13.0,garbo08,16.0,,,,,0.0011721916918484624,-1.0,724.1489795918368,725.1530612244898,724.7163265306123,729.5938775510203
0,2022.0,7.0,14.0,garbo08,9.0,1.3431814273430784,1.4495606728288908,0.1728827822710662,0.15982709049871024,0.005758311080348398,-1.0,204.75954861111111,205.82847222222222,204.17795138888889,220.17369791666667
1,2022.0,7.0,14.0,garbo08,10.0,6.670713896574798,12.971048951325592,1.5462254305239076,0.794763262713397,0.006565091254484404,24.59551574949727,380.41575797872343,380.6230385638298,380.2383643617021,395.6705784574468
2,2022.0,7.0,14.0,garbo08,11.0,6.666619277793574,20.379646765931547,2.429479817338108,0.7936451521182827,0.006997189807864685,5.726665235143588,514.5703753351206,513.8413873994638,513.079490616622,530.1474865951743
3,2022.0,7.0,14.0,garbo08,12.0,10.37550561797753,22.156099631320227,2.6413232833347964,1.235252808988764,0.0047583304094464185,27.168762101123598,356.7320287018917,356.2056099151989,355.2187214611873,371.5168623613829
4,2022.0,7.0,14.0,garbo08,13.0,13.848176328502417,30.196634350467995,3.5996920958194947,1.6490604871175523,0.0029147618461560654,32.11158266276946,229.21133192389007,229.19737843551798,228.33712473572942,244.11327695560254
5,2022.0,7.0,14.0,garbo08,14.0,16.35554455445545,38.679207920792074,4.61062706270627,1.950256806930693,0.0012145542598270525,0.7809699801980198,60.074418604651164,59.20387596899225,58.09651162790698,76.41627906976744
0,2022.0,7.0,15.0,garbo08,9.0,14.615282258064516,14.29491935483871,1.7044323336693548,1.741467521421371,0.001696899701964134,-1.0,79.52179487179487,79.22820512820513,78.07008547008547,98.20213675213675
1,2022.0,7.0,15.0,garbo08,10.0,8.187665525114156,24.84626997716895,2.9618703512949485,0.9753021323844179,0.004059115614948131,4.877882204221335,180.46536810828655,180.90181578078574,179.78755364806867,196.53608451634204
2,2022.0,7.0,15.0,garbo08,11.0,11.248914575697773,41.63136531531928,4.962820225498661,1.339159853397237,0.0051453646586449705,6.814421204398083,281.4291143423662,281.5659616655651,280.6372108393919,297.75178453403834
3,2022.0,7.0,15.0,garbo08,12.0,7.2785734746490975,28.92560746047873,3.4482518272432685,0.8665138928673732,0.004080714212383142,36.019665628186765,481.9622950819672,482.6154901304784,481.6700568752091,493.41980595516895
4,2022.0,7.0,15.0,garbo08,13.0,18.45822458270106,13.476327769347495,1.6064946889226102,2.200024421471927,0.00025143342859604203,0.8307932656023223,83.19611486486487,83.5429054054054,82.30996621621621,102.3391891891892
0,2022.0,7.0,18.0,garbo08,9.0,7.015168316831683,12.000964427985767,1.4307225450572403,0.8363985922029703,0.002579795543685124,6.722271472735894,508.1514161220044,506.9941721132898,506.99035947712423,519.4808278867102
1,2022.0,7.0,18.0,garbo08,10.0,7.483731513083049,11.214521567699446,1.336914529116894,0.8909271899886234,0.004123800276082949,15.356438208700599,513.0506135986733,512.4691210613598,512.3916417910448,528.4111774461028
2,2022.0,7.0,18.0,garbo08,11.0,4.902502780867631,14.86089547196538,1.7715774987616448,0.583634593993326,0.004561729505409477,5.408935662958843,630.6617608836907,630.2685834957765,630.7061403508771,643.7330734243014
3,2022.0,7.0,18.0,garbo08,12.0,8.347979363714531,19.594557918637147,2.3360244921539124,0.9938377758670106,0.0030669373337058386,33.32498711722556,354.0256837891928,353.6403935957305,352.7283188792528,368.63465643762504
